SN,addr,pressure,lat,lng
N203PB,登良路与海德三道交汇处南300米西侧,0.46152785,22.51985931,113.9539948
CN4Q01,后海滨路与工业八路交汇处南10米西侧,0.5421891,22.50511932,113.9441986
0V0V0R,海德三道与登良路交汇处东200米南侧,0.560664077,22.52158546,113.9565277
JLM474,打石一路电子检测大厦,0.182615835,22.57842445,113.9546967
18M5LL,龙井路龙辉花园后门南20米东侧,0.541581668,22.57160378,113.9650269
3CKJ57,海德三道与沙河西路交汇处西50米南侧,0.167736298,22.52147293,113.957283
P69NN7,后海滨路与工业七路交汇处南20米西侧,0.532098341,22.50064278,113.9447327
XM4W42,登良路与海德一道交汇处北5米东侧,0.517880147,22.51935959,113.9538498
NBH970,海德三道与登良路交汇处西100米北侧,0.460825009,22.52269936,113.9538574
3H7RH3,科兴路科技园文化广场,0.074405451,22.54574394,113.9504013
916TNM,后海滨路与登良路交汇处西南角,0.052492734,22.51604462,113.9445572
8J8A4K,义学街四坊莲城幼儿园,0.326689675,22.5511322,113.9320679
T9R07U,茶光路文光工业区,0.058127895,22.57426834,113.9565887
Y229BN,后海滨路与招商东路交汇处南10米西侧,0.334006603,22.49845886,113.9451447
Z2UD56,后海滨路与登良路交汇处北60米西侧,0.582519774,22.51639748,113.9442978
J10A8P,海德三道与后海滨路交汇处东50米北侧,0.108633179,22.52432442,113.9485779
197CJZ,后海滨路与海德一道交汇处南5米东侧,0.404838676,22.5203495,113.946022
NUG542,后海滨路与工业八路交汇处南300米东侧,0.211365075,22.50474167,113.9445877
ZZ6D14,登良路钱大妈门前,0.090033946,22.51557159,113.9422531
DUF605,深圳市南山区茶光路,0.586449078,22.5742588,113.9530869
01PJC7,打石一路万科云城,0.05426262,22.57777405,113.9499741
V234BT,深圳市南山区打石一路,0.532788651,22.57793617,113.9534378
95L6QB,石鼓路登山之旅,0.369813647,22.58383942,113.9546509
0ZA4X8,石鼓路深圳市南山区西丽第二小学,0.351319805,22.57835579,113.9550095
790CGJ,科技中二路深圳软件园二期,0.480954016,22.55182648,113.9446487
7SUC99,登良路与海德一道交汇处南5米东侧,0.102903959,22.51874161,113.9531097
J4WK37,后海滨路与招商东路交汇处东北角,0.160853977,22.49950218,113.9453506
RUL151,水务科技有限公司,0.264493929,22.60238457,114.016716
103NWG,高新中三道劲嘉科技大厦,0.558243689,22.54959709,113.9450773
XWS456,龙珠六路桃源村(地铁站),0.269949959,22.56663895,113.9878082
37F2EQ,海德三道与中心路交汇处正北处,0.585745766,22.52395821,113.9502106
MUM311,龙珠大道城市假日,0.265970423,22.56880478,113.9840727
NDF065,后海滨路与海德三道交汇处北5米西侧,0.09927761,22.52476501,113.9472122
75W9GP,后海滨路与海德一道交汇处北200米西侧,0.598133532,22.522686,113.9465179
725JAE,后海滨路与海德一道交汇处南5米西侧,0.444930893,22.52033043,113.9457321
C840NG,登良路与中心路交汇处东200米南侧,0.365677874,22.51569748,113.949173
504JCF,龙苑路岚峰苑,0.065516129,22.56720161,113.9946518
G9ER13,登良路与后海滨路交汇处东50米北侧,0.067659876,22.51584625,113.9454575
YF2B08,后海滨路与东滨路交汇处南200米西侧,0.115333652,22.51229477,113.9440918
X970PP,登良路陶先生面馆门前,0.090777953,22.51572609,113.9494858
448JVE,登良路与中心路交汇处西50米南侧,0.146834123,22.51575661,113.9463272
120XYD,龙珠四路龙井(地铁站),0.462647133,22.57025719,113.980629
W68G6D,科技中二路软件大厦-附楼,0.406409272,22.55446243,113.9458084
988MHU,后海滨路后海湾,0.583598844,22.52145651,113.9461822
104XSM,后海滨路与蛇口新街交汇处南20米东侧,0.311296256,22.4922905,113.9471283
6HD91K,海德三道与登良路交汇处西10米北侧,0.236967239,22.52236557,113.9545975
W0N0B7,后海滨路与岸湾一街交汇处南20米东侧,0.224234494,22.49425888,113.9463196
4L94EW,后海滨路与东滨路交汇处北100米西侧,0.19592434,22.50871277,113.9441223
2K4R2H,月亮湾大道辅路荷兰花卉小镇西门往北60米绿化带中,0.057241593,22.55147459,113.9168436
1DJD86,后海滨路与工业八路交汇处北200米东侧,0.398021769,22.50733566,113.9444962
XZL762,后海滨路与望海路交汇处北300米西侧,0.319635436,22.49157143,113.9471436
42BS2D,打石一路深圳市南山区中兴嘉园幼儿园,0.173842981,22.5774231,113.9457245
N28NW9,海德三道与登良路交汇处东10米南侧,0.079565485,22.52171516,113.9556503
957PQC,后海滨路与工业七路交汇处北10米东侧,0.07768413,22.50211525,113.9448853
0N24TS,后海滨路与登良路交汇处南100米东侧,0.463159924,22.51438904,113.9443893
K8KX82,登良路与创业路交汇处南5米东侧,0.548622753,22.51684761,113.9524002
09UC4G,科苑南路与登良路交汇处北5米东侧,0.319437597,22.51615524,113.9504318
VXW716,后海滨路与蓝天路交汇处南5米西侧,0.303113095,22.49618721,113.945549
HYB505,龙珠六路童心飞扬青少年宫,0.115821621,22.56704521,113.9864349
P087NH,后海滨路澳城花园酒店门前,0.351158722,22.49417114,113.946106
78VWV2,后海滨路与蓝天路交汇处北200米西侧,0.254594219,22.49753952,113.9452515
Y8E2Y2,登良路与后海滨路交汇处登良地铁站D出口10米,0.147413386,22.51554298,113.9431992
DSP027,海德三道与沙河西路交汇处往南方向入口处20米,0.111753317,22.52123451,113.9592438
CJ4W25,龙珠六路童心飞扬青少年宫,0.526645951,22.56727028,113.9866257
137YGC,乾丰二路深圳集成电路设计应用产业园-西门,0.189491417,22.57276781,113.9481315
XBY103,登良路与科苑南路交汇处东200米南侧,0.308157855,22.5158329,113.9514694
G5JC41,乾丰三路深圳集成电路设计应用产业园,0.268734108,22.57162285,113.9496536
U4VR96,科技中二路翰宇药业,0.099613341,22.55244255,113.9452209
147JEJ,后海滨路与工业七路交汇处北10米西侧,0.111108052,22.50206566,113.9444962
Y4QL96,龙珠大道中国石化(龙珠源加油站),0.320496618,22.56874657,113.983139
88X8PE,龙珠大道皇庭香格里花园,0.5673406,22.56776237,113.9859695
L75R3D,登良路与逸湖四街交汇处北5米西侧,0.312104788,22.51849556,113.9527435
9MC3K5,水务科技有限公司,0.497391804,22.60238457,114.016716
WYH102,登良路与创业路交汇处南5米西侧,0.141338932,22.51708221,113.9522629
V32CL8,海德三道与后海滨路东5米南侧,0.257968696,22.52430725,113.9478302
GX681J,后海滨路与望海路交汇处北10米西侧,0.204132819,22.49057198,113.9478378
PJ770T,科技中三东侧与高新中四道交汇处往北30米绿化带中,0.471033621,22.54941351,113.9485088
Y234KV,茶光路龙腾酒店,0.450283968,22.57427788,113.9575195
T0Y4L7,后海滨路1168_14号芳子美容门前,0.530453979,22.49752235,113.94561
D62KU4,高新中三道深圳软件园,0.122379004,22.55134964,113.9452515
N3P26R,海德三道与后海滨路交汇处西50米南侧,0.105705568,22.5245533,113.9462128
170HMF,龙珠大道桃源中学,0.15997091,22.56775284,113.9849091
Z3Z03Z,茶光路创E基地,0.582396723,22.57388687,113.9530334
XC3J12,科技中三路科兴生物谷大厦,0.433906556,22.55306001,113.9485358
VB291N,科技中二路万基产业园,0.40373157,22.55351067,113.9456406
LM6P42,高新中二道药检大楼,0.188391901,22.55199623,113.9434891
7UNT55,高新中一道友利创意园,0.553168643,22.55669022,113.9457855
Q10TH4,龙珠大道桃源村,0.162050424,22.56567383,113.9887924
PXC694,龙井路火车桥南10米东侧,0.288644993,22.57054329,113.9655457
R7S5U1,龙珠大道珠光(地铁站),0.190412418,22.57429123,113.9660263
CU5Q06,高新中一道深圳市永信汽车服务有限公司,0.502932394,22.55566341,113.9460115
58N7MV,石鼓路电子检测大厦,0.296080372,22.58007622,113.9547348
929MUH,海德三道与沙河西路交汇处西200米北侧,0.265519058,22.52170753,113.9573212
73CJF5,后海滨路悦生活门前,0.5077221,22.49560165,113.9459229
L20NP2,后海滨路北行盛耀名车门前,0.396889111,22.49359131,113.9461899
V97R1T,登良路与科苑南路交汇处东5米西侧,0.445128706,22.51594353,113.950676
2A4P6N,登良路与科苑南路交汇处东5米南侧,0.120808333,22.51573563,113.9507217
A7YN79,后海滨路与月华路交汇处南10米西侧,0.112552725,22.50320625,113.9443817
05A5GW,龙珠大道深圳市兄弟车汇二手车交易中心,0.466740528,22.57263565,113.974472
S600TZ,深圳市南山区茶光路,0.301033931,22.57391548,113.9542618
RPT649,深圳市南山区同乐路,0.25363377,22.57401085,113.9408875
P3X42W,龙珠大道梅州大厦,0.416150118,22.56524467,113.9909058
30Z4HX,岸湾三街与中心路交汇处西10米南侧,0.470018538,22.50359726,113.9458694
2A7VE7,登良路与海德三道交汇处南100米东侧,0.218191597,22.52069283,113.9545135
P66WC1,后海滨路与工业七路交汇处南5米西侧,0.105414662,22.50099182,113.9450531
G1L06P,后海滨路与东滨路交汇处南10米西侧,0.514588842,22.50973892,113.9440613
MAR975,后海滨路与东滨路交汇处北10米东侧,0.573215064,22.51142693,113.9444504
LR7H01,龙珠七路俊峰丽舍,0.489815106,22.56634331,113.9884567
PSM103,龙珠七路中爱花园,0.366748636,22.56806374,113.9910965
JCK448,登良路与科苑南路交汇处西5米北侧,0.169894967,22.51590729,113.9497833
SNH942,龙珠六路郁金香家园,0.072746483,22.56734467,113.9874573
94BX0C,深圳市南山区茶光路,0.259475881,22.57423592,113.9498138
TG989X,深圳市南山区科技中二路,0.577738951,22.55137062,113.9450836
F3D37V,深南大道北侧与沙河东路交汇处路口往西150米绿化带中,0.351765953,22.54663475,113.9693585
59VJE1,深圳市南山区科技中二路,0.08355237,22.55040932,113.9450912
JJX950,龙珠大道龙联花园,0.176831673,22.57370186,113.9695358
212DRL,科兴路汇景花园,0.43030278,22.54626759,113.9486705
51Q5FG,龙珠一路名典咖啡(西丽体育中心店),0.396554687,22.57758141,113.9642715
463RAW,登良路与中心路交汇处南200米西侧,0.295157972,22.51613235,113.9516296
HPF036,龙珠六路水木华庭,0.581559848,22.56854248,113.9878159
741HFF,龙珠大道天地峰景园,0.198582701,22.56505013,113.9914398
5CE3M1,玉泉路源丰好五金店(玉泉路),0.1605389,22.55184174,113.9338226
7V1FL3,深圳市南山区茶光路,0.076338777,22.57394791,113.9430618
X5XA29,深南大道辅路前海花卉公园,0.125658046,22.55233192,113.9200821
FF5T48,龙苑路佳兆业·香瑞园会所,0.323352948,22.56693459,113.9963837
U28EP2,登良路与后海大道交汇处蔚蓝海岸社区服务中心,0.166566361,22.51552773,113.9408875
3D55CN,茶光路德运物流大楼,0.462128349,22.57386971,113.9475403
081LJQ,石鼓路深圳市南山区西丽第二小学,0.282916229,22.57750702,113.95504
4P6WQ7,茶光路南悦湾酒店,0.183671721,22.57428741,113.9554367
35M0NA,海德三道与科苑南路交汇处西北角,0.346171434,22.52348328,113.9520493
065NMF,深圳市南山区打石一路,0.313821008,22.57789612,113.9543915
RP0P24,后海滨路与登良路交汇处南100米西侧,0.467713679,22.51415062,113.9440994
9FM4F1,后海滨路与海德三道交汇处北100米西侧,0.254280419,22.52586555,113.9475174
